url,photo_list,title,current_bid,shipping_cost,user_name,user_rating
https://www.ebay.com/itm/Card-Rolex-2018Originale-100-Per-collezionisti-Buon-asta/174087012615?hash=item2888650107%3Ag%3ARgwAAOSwZ3tdwYFU&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/RgwAAOSwZ3tdwYFU/s-l1600.jpg,https://i.ebayimg.com/images/g/gMAAAOSw849dwYGB/s-l1600.jpg",card rolex 2018originale 100%per collezionisti.,450.0,25.00,antcapi14,11
https://www.ebay.com/itm/EXACTO-MUSTANG-rare-vintage-swiss-Uhren-Teilen/352844288817?hash=item5227289331%3Ag%3A94wAAOSwv9ZdEIEb&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/94wAAOSwv9ZdEIEb/s-l1600.jpg,https://i.ebayimg.com/images/g/XGAAAOSwQhFdEIEg/s-l1600.jpg,https://i.ebayimg.com/images/g/4mwAAOSwlQhdEIEi/s-l1600.jpg",exacto mustang - rare vintage swiss uhren teilen,5.0,7.00,adno26,110
https://www.ebay.com/itm/RM-Inspiration-Bracelet-And-Watch-With-Original-Box/193194176543?hash=item2cfb45301f%3Ag%3AGbIAAOSwFINduEFu&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/GbIAAOSwFINduEFu/s-l1600.jpg,https://i.ebayimg.com/images/g/8RoAAOSwpshduEFx/s-l1600.jpg,https://i.ebayimg.com/images/g/1P8AAOSwru1duEF0/s-l1600.jpg",rm inspiration bracelet and watch with original box,12.5,22.43,janeharriso9,375
https://www.ebay.com/itm/SERVAIS-PENARD-BENRUS-WATCH-USA-VINTAGE-BOX-CONDIZIONI-COME-IN-FOTO/153711834054?hash=item23c9f073c6%3Ag%3AbasAAOSwXOldwXtz&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/basAAOSwXOldwXtz/s-l1600.jpg,https://i.ebayimg.com/images/g/x3UAAOSwwEddwXt1/s-l1600.jpg,https://i.ebayimg.com/images/g/MfUAAOSwfwxdwXt4/s-l1600.jpg,https://i.ebayimg.com/images/g/9VwAAOSwO0VdwXt7/s-l1600.jpg,https://i.ebayimg.com/images/g/htMAAOSwvCpdwXt9/s-l1600.jpg,https://i.ebayimg.com/images/g/mkQAAOSwjYldwXuB/s-l1600.jpg,https://i.ebayimg.com/images/g/dIwAAOSwxR1dwXuE/s-l1600.jpg,https://i.ebayimg.com/images/g/ctcAAOSw~QVdwXuG/s-l1600.jpg,https://i.ebayimg.com/images/g/4qcAAOSwMyFdwXue/s-l1600.jpg",servais penard benrus watch usa vintage box  condizioni come in foto,29.0,20.00,allenhaff78,1002
https://www.ebay.com/itm/Vintage-Sicura-Globetrotter-GMT-1970s-Red-Blue-Bezel/143432887605?hash=item2165442d35%3Ag%3Ab0EAAOSwwUJdwXr3&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/b0EAAOSwwUJdwXr3/s-l1600.jpg,https://i.ebayimg.com/images/g/FdkAAOSwDg9dwXr8/s-l1600.jpg,https://i.ebayimg.com/images/g/aSoAAOSwxbNdwXsF/s-l1600.jpg,https://i.ebayimg.com/images/g/BP0AAOSwThNdwXsL/s-l1600.jpg,https://i.ebayimg.com/images/g/qU8AAOSwdy1dwXsR/s-l1600.jpg,https://i.ebayimg.com/images/g/sVAAAOSww9ddwXsa/s-l1600.jpg,https://i.ebayimg.com/images/g/IygAAOSwJAxdwXsd/s-l1600.jpg,https://i.ebayimg.com/images/g/yjMAAOSw63tdwXsk/s-l1600.jpg,https://i.ebayimg.com/images/g/fkcAAOSwjyddwXsn/s-l1600.jpg,https://i.ebayimg.com/images/g/9ccAAOSw6FhdwXsq/s-l1600.jpg,https://i.ebayimg.com/images/g/7AIAAOSwW7hdwXsv/s-l1600.jpg,https://i.ebayimg.com/images/g/C3sAAOSwqr5dwXsz/s-l1600.jpg",vintage sicura globetrotter gmt 1970s red blue bezel,150.0,12.00,svcap888,1239
https://www.ebay.com/itm/MATT-SORUM-VESTAL-ZILDJIAN-WATCH-GUNS-N-ROSES-NEUROTIC-OUTSIDERS-THE-CULT/143432887367?hash=item2165442c47%3Ag%3Au10AAOSwYsJdhUVy&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/u10AAOSwYsJdhUVy/s-l1600.jpg,https://i.ebayimg.com/images/g/jJwAAOSwCkZdhUVF/s-l1600.jpg,https://i.ebayimg.com/images/g/eC0AAOSwaFddhUUO/s-l1600.jpg,https://i.ebayimg.com/images/g/55sAAOSwBn9dhUUo/s-l1600.jpg,https://i.ebayimg.com/images/g/F0sAAOSwV7JdhUVc/s-l1600.jpg,https://i.ebayimg.com/images/g/t4oAAOSwrAldhUUc/s-l1600.jpg,https://i.ebayimg.com/images/g/jHIAAOSwCkZdhUUg/s-l1600.jpg",matt sorum vestal zildjian watch guns n' roses neurotic outsiders the cult,39.99,9.50,palmelaattic,618
https://www.ebay.com/itm/LONGINES-WATCH-VINTAGE-SCATOLA-BOX-CONDIZIONI-COME-IN-FOTO/153711833119?hash=item23c9f0701f%3Ag%3AUikAAOSw-7hdwXsQ&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/UikAAOSw-7hdwXsQ/s-l1600.jpg,https://i.ebayimg.com/images/g/alcAAOSwjJddwXsT/s-l1600.jpg,https://i.ebayimg.com/images/g/MmkAAOSwkoldwXsV/s-l1600.jpg,https://i.ebayimg.com/images/g/ItoAAOSws-xdwXsY/s-l1600.jpg,https://i.ebayimg.com/images/g/qbsAAOSwJRldwXsa/s-l1600.jpg,https://i.ebayimg.com/images/g/eTcAAOSwD1FdwXsd/s-l1600.jpg,https://i.ebayimg.com/images/g/sEAAAOSwRg9dwXsf/s-l1600.jpg,https://i.ebayimg.com/images/g/f2QAAOSwHrldwXsh/s-l1600.jpg,https://i.ebayimg.com/images/g/xbkAAOSwWEddwXsk/s-l1600.jpg,https://i.ebayimg.com/images/g/rDEAAOSwNopdwXsm/s-l1600.jpg,https://i.ebayimg.com/images/g/9KkAAOSwMi5dwXso/s-l1600.jpg",longines watch vintage scatola box  condizioni come in foto,9.0,20.00,allenhaff78,1002
https://www.ebay.com/itm/orologio-orient-star-datajuste-automatic/264522823571?hash=item3d96c9f793%3Ag%3Aqe0AAOSwhe9doYcz&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/qe0AAOSwhe9doYcz/s-l1600.jpg,https://i.ebayimg.com/images/g/IlgAAOSw9ltdoYcw/s-l1600.jpg,https://i.ebayimg.com/images/g/YRAAAOSwgeZdoYc5/s-l1600.jpg,https://i.ebayimg.com/images/g/-K8AAOSwqi9doYdG/s-l1600.jpg,https://i.ebayimg.com/images/g/4m4AAOSw~WxdoYdN/s-l1600.jpg,https://i.ebayimg.com/images/g/rHAAAOSwDs9doYdT/s-l1600.jpg",orologio orient star datajuste automatic ,165.0,20.00,pally1959,1523
https://www.ebay.com/itm/SEKSY-SEKONDA-WOMENS-WATCH-WITH-BOX-2259-BJT/274083017263?hash=item3fd09ef22f%3Ag%3AmZoAAOSwqNxdraZ3&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/mZoAAOSwqNxdraZ3/s-l1600.jpg,https://i.ebayimg.com/images/g/rVYAAOSwDYZdraZo/s-l1600.jpg,https://i.ebayimg.com/images/g/7UEAAOSwWGJdrauf/s-l1600.jpg,https://i.ebayimg.com/images/g/NxYAAOSwx1RdrauT/s-l1600.jpg,https://i.ebayimg.com/images/g/KcQAAOSwZ4pdrauB/s-l1600.jpg",seksy sekonda womens watch with box 2259 bjt,18.99,20.89,donnasdesignerempire,1619
https://www.ebay.com/itm/Mens-watch-by-Swiss-hunter/163931468031?hash=item262b13b0ff%3Ag%3A4EgAAOSwTpldjL0h&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/4EgAAOSwTpldjL0h/s-l1600.jpg,https://i.ebayimg.com/images/g/HHsAAOSwn5JdqCwJ/s-l1600.jpg,https://i.ebayimg.com/images/g/sx4AAOSwkLJdjL0v/s-l1600.jpg,https://i.ebayimg.com/images/g/vdcAAOSwq15dqCwW/s-l1600.jpg",mens  watch by swiss hunter ,10.0,22.98,hic_juli,367
